Transcript ID	Gene ID	Gene symbol	Gene description	Species ID	3P-seq tags	Representative transcript?
ENSMUST00000000128.4	ENSMUSG00000000126.6	Wnt9a	wingless-type MMTV integration site 9A [Source:MGI Symbol;Acc:MGI:2446084]	10090	105	1
ENSMUST00000000129.7	ENSMUSG00000000127.9	Fer	fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]	10090	648	1
ENSMUST00000000137.7	ENSMUSG00000020152.7	Actr2	ARP2 actin-related protein 2 [Source:MGI Symbol;Acc:MGI:1913963]	10090	489	1
ENSMUST00000000153.4	ENSMUSG00000000149.6	Gna12	guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]	10090	537	1
ENSMUST00000000161.8	ENSMUSG00000000157.10	Itgb2l	integrin beta 2-like [Source:MGI Symbol;Acc:MGI:1277979]	10090	5	0
ENSMUST00000000171.9	ENSMUSG00000000167.9	Pih1d2	PIH1 domain containing 2 [Source:MGI Symbol;Acc:MGI:1919864]	10090	19	1
ENSMUST00000000175.4	ENSMUSG00000000171.4	Sdhd	succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]	10090	572	1
ENSMUST00000000186.6	ENSMUSG00000000182.7	Fgf23	fibroblast growth factor 23 [Source:MGI Symbol;Acc:MGI:1891427]	10090	5	1
ENSMUST00000000187.5	ENSMUSG00000000183.5	Fgf6	fibroblast growth factor 6 [Source:MGI Symbol;Acc:MGI:95520]	10090	28	1
ENSMUST00000000188.8	ENSMUSG00000000184.9	Ccnd2	cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]	10090	9744	1
ENSMUST00000000193.5	ENSMUSG00000035385.5	Ccl2	chemokine (C-C motif) ligand 2 [Source:MGI Symbol;Acc:MGI:98259]	10090	876	1
ENSMUST00000000194.3	ENSMUSG00000035352.3	Ccl12	chemokine (C-C motif) ligand 12 [Source:MGI Symbol;Acc:MGI:108224]	10090	37	1
ENSMUST00000000199.7	ENSMUSG00000062661.6	Ncs1	neuronal calcium sensor 1 [Source:MGI Symbol;Acc:MGI:109166]	10090	761	1
ENSMUST00000000201.5	ENSMUSG00000000197.7	Nalcn	sodium leak channel, non-selective [Source:MGI Symbol;Acc:MGI:2444306]	10090	9	1
ENSMUST00000000206.3	ENSMUSG00000000202.4	Btbd17	BTB (POZ) domain containing 17 [Source:MGI Symbol;Acc:MGI:1919264]	10090	59	1
ENSMUST00000000208.6	ENSMUSG00000000204.10	Slfn4	schlafen 4 [Source:MGI Symbol;Acc:MGI:1329010]	10090	18	1
ENSMUST00000000219.4	ENSMUSG00000000214.5	Th	tyrosine hydroxylase [Source:MGI Symbol;Acc:MGI:98735]	10090	8	1
ENSMUST00000000221.5	ENSMUSG00000000216.8	Scnn1g	sodium channel, nonvoltage-gated 1 gamma [Source:MGI Symbol;Acc:MGI:104695]	10090	590	1
ENSMUST00000000253.5	ENSMUSG00000000247.6	Lhx2	LIM homeobox protein 2 [Source:MGI Symbol;Acc:MGI:96785]	10090	26	1
ENSMUST00000000260.7	ENSMUSG00000000253.7	Gmpr	guanosine monophosphate reductase [Source:MGI Symbol;Acc:MGI:1913605]	10090	1547	1
ENSMUST00000000266.7	ENSMUSG00000026535.8	Ifi202b	interferon activated gene 202B [Source:MGI Symbol;Acc:MGI:1347083]	10090	157	1
ENSMUST00000000275.7	ENSMUSG00000038257.8	Glra3	glycine receptor, alpha 3 subunit [Source:MGI Symbol;Acc:MGI:95749]	10090	7	1
ENSMUST00000000287.8	ENSMUSG00000000278.10	Scpep1	serine carboxypeptidase 1 [Source:MGI Symbol;Acc:MGI:1921867]	10090	128	1
ENSMUST00000000291.3	ENSMUSG00000000282.7	Mnt	max binding protein [Source:MGI Symbol;Acc:MGI:109150]	10090	262	1
ENSMUST00000000299.8	ENSMUSG00000000290.8	Itgb2	integrin beta 2 [Source:MGI Symbol;Acc:MGI:96611]	10090	266	1
ENSMUST00000000304.7	ENSMUSG00000000295.7	Hddc2	HD domain containing 2 [Source:MGI Symbol;Acc:MGI:1916942]	10090	33	1
ENSMUST00000000305.5	ENSMUSG00000000296.7	Tpd52l1	tumor protein D52-like 1 [Source:MGI Symbol;Acc:MGI:1298386]	10090	250	1
ENSMUST00000000312.6	ENSMUSG00000000303.7	Cdh1	cadherin 1 [Source:MGI Symbol;Acc:MGI:88354]	10090	8033	1
ENSMUST00000000314.7	ENSMUSG00000000305.7	Cdh4	cadherin 4 [Source:MGI Symbol;Acc:MGI:99218]	10090	111	1
ENSMUST00000000326.6	ENSMUSG00000000317.6	Bcl6b	B cell CLL/lymphoma 6, member B [Source:MGI Symbol;Acc:MGI:1278332]	10090	91	1
ENSMUST00000000329.3	ENSMUSG00000000320.5	Alox12	arachidonate 12-lipoxygenase [Source:MGI Symbol;Acc:MGI:87998]	10090	69	1
ENSMUST00000000342.2	ENSMUSG00000020676.2	Ccl11	chemokine (C-C motif) ligand 11 [Source:MGI Symbol;Acc:MGI:103576]	10090	75	1
ENSMUST00000000348.9	ENSMUSG00000000339.9	Rtca	RNA 3'-terminal phosphate cyclase [Source:MGI Symbol;Acc:MGI:1913618]	10090	77	1
ENSMUST00000000349.6	ENSMUSG00000000340.6	Dbt	dihydrolipoamide branched chain transacylase E2 [Source:MGI Symbol;Acc:MGI:105386]	10090	2152	1
ENSMUST00000000356.8	ENSMUSG00000000346.8	Dazap2	DAZ associated protein 2 [Source:MGI Symbol;Acc:MGI:1344344]	10090	13105	1
ENSMUST00000000365.2	ENSMUSG00000000355.8	Mcts1	malignant T cell amplified sequence 1 [Source:MGI Symbol;Acc:MGI:1916245]	10090	4193	1
ENSMUST00000000369.3	ENSMUSG00000000359.3	Rem1	rad and gem related GTP binding protein 1 [Source:MGI Symbol;Acc:MGI:1097696]	10090	76	1
ENSMUST00000000384.6	ENSMUSG00000000374.7	Trappc10	trafficking protein particle complex 10 [Source:MGI Symbol;Acc:MGI:1336209]	10090	1158	1
ENSMUST00000000388.9	ENSMUSG00000000378.10	Ccm2	cerebral cavernous malformation 2 [Source:MGI Symbol;Acc:MGI:2384924]	10090	958	1
ENSMUST00000000395.6	ENSMUSG00000000385.7	Tmprss2	transmembrane protease, serine 2 [Source:MGI Symbol;Acc:MGI:1354381]	10090	106	1
ENSMUST00000000412.2	ENSMUSG00000000402.2	Egfl6	EGF-like-domain, multiple 6 [Source:MGI Symbol;Acc:MGI:1858599]	10090	273	1
ENSMUST00000000421.5	ENSMUSG00000000411.7	Tssk3	testis-specific serine kinase 3 [Source:MGI Symbol;Acc:MGI:1929914]	10090	6	1
ENSMUST00000000430.8	ENSMUSG00000000420.10	Galnt1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 [Source:MGI Symbol;Acc:MGI:894693]	10090	1815	1
ENSMUST00000000445.1	ENSMUSG00000000435.1	Myf5	myogenic factor 5 [Source:MGI Symbol;Acc:MGI:97252]	10090	13	1
ENSMUST00000000449.7	ENSMUSG00000000439.8	Mkrn2	makorin, ring finger protein, 2 [Source:MGI Symbol;Acc:MGI:1914277]	10090	561	1
ENSMUST00000000466.7	ENSMUSG00000028494.7	Plin2	perilipin 2 [Source:MGI Symbol;Acc:MGI:87920]	10090	439	1
ENSMUST00000000476.9	ENSMUSG00000029231.10	Pdgfra	platelet derived growth factor receptor, alpha polypeptide [Source:MGI Symbol;Acc:MGI:97530]	10090	1153	1
ENSMUST00000000500.6	ENSMUSG00000000489.6	Pdgfb	platelet derived growth factor, B polypeptide [Source:MGI Symbol;Acc:MGI:97528]	10090	26	1
ENSMUST00000000505.10	ENSMUSG00000029730.11	Mcm7	minichromosome maintenance deficient 7 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1298398]	10090	317	1
ENSMUST00000000542.8	ENSMUSG00000000530.11	Acvrl1	activin A receptor, type II-like 1 [Source:MGI Symbol;Acc:MGI:1338946]	10090	4063	1
ENSMUST00000000543.4	ENSMUSG00000000531.4	Grasp	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein [Source:MGI Symbol;Acc:MGI:1860303]	10090	440	1
ENSMUST00000000544.10	ENSMUSG00000000532.10	Acvr1b	activin A receptor, type 1B [Source:MGI Symbol;Acc:MGI:1338944]	10090	815	1
ENSMUST00000000572.5	ENSMUSG00000000560.5	Gabra2	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2 [Source:MGI Symbol;Acc:MGI:95614]	10090	5	1
ENSMUST00000000573.3	ENSMUSG00000074340.4	Ovgp1	oviductal glycoprotein 1 [Source:MGI Symbol;Acc:MGI:106661]	10090	24	1
ENSMUST00000000574.1	ENSMUSG00000000562.4	Adora3	adenosine A3 receptor [Source:MGI Symbol;Acc:MGI:104847]	10090	13	1
ENSMUST00000000579.2	ENSMUSG00000000567.5	Sox9	SRY (sex determining region Y)-box 9 [Source:MGI Symbol;Acc:MGI:98371]	10090	647	1
ENSMUST00000000594.3	ENSMUSG00000000581.3	C1d	C1D nuclear receptor co-repressor [Source:MGI Symbol;Acc:MGI:1927354]	10090	5861	1
ENSMUST00000000608.7	ENSMUSG00000000594.7	Gm2a	GM2 ganglioside activator protein [Source:MGI Symbol;Acc:MGI:95762]	10090	62	1
ENSMUST00000000619.6	ENSMUSG00000000605.8	Clcn4-2	chloride channel 4-2 [Source:MGI Symbol;Acc:MGI:104571]	10090	1930	1
ENSMUST00000000641.10	ENSMUSG00000000627.10	Sema4f	sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain [Source:MGI Symbol;Acc:MGI:1340055]	10090	28	1
ENSMUST00000000642.5	ENSMUSG00000000628.5	Hk2	hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]	10090	102	1
ENSMUST00000000646.8	ENSMUSG00000000632.8	Sez6	seizure related gene 6 [Source:MGI Symbol;Acc:MGI:104745]	10090	5	0
ENSMUST00000000687.7	ENSMUSG00000000673.8	Haao	3-hydroxyanthranilate 3,4-dioxygenase [Source:MGI Symbol;Acc:MGI:1349444]	10090	1346	1
ENSMUST00000000696.6	ENSMUSG00000000682.7	Cd52	CD52 antigen [Source:MGI Symbol;Acc:MGI:1346088]	10090	14	1
ENSMUST00000000707.3	ENSMUSG00000000693.5	Loxl3	lysyl oxidase-like 3 [Source:MGI Symbol;Acc:MGI:1337004]	10090	948	1
ENSMUST00000000717.7	ENSMUSG00000000701.7	Tcl1b5	T cell leukemia/lymphoma 1B, 5 [Source:MGI Symbol;Acc:MGI:1351635]	10090	5	1
ENSMUST00000000718.6	ENSMUSG00000079007.3	Tcl1b4	T cell leukemia/lymphoma 1B, 4 [Source:MGI Symbol;Acc:MGI:1351604]	10090	5	1
ENSMUST00000000724.9	ENSMUSG00000000708.9	Kat2b	K(lysine) acetyltransferase 2B [Source:MGI Symbol;Acc:MGI:1343094]	10090	12	1
ENSMUST00000000727.2	ENSMUSG00000000711.2	Rab5b	RAB5B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105938]	10090	131	1
ENSMUST00000000755.8	ENSMUSG00000000739.8	Sult5a1	sulfotransferase family 5A, member 1 [Source:MGI Symbol;Acc:MGI:1931463]	10090	33	1
ENSMUST00000000756.5	ENSMUSG00000000740.6	Rpl13	ribosomal protein L13 [Source:MGI Symbol;Acc:MGI:105922]	10090	37083	1
ENSMUST00000000759.8	ENSMUSG00000000743.8	Chmp1a	charged multivesicular body protein 1A [Source:MGI Symbol;Acc:MGI:1920159]	10090	653	1
ENSMUST00000000769.8	ENSMUSG00000000753.10	Serpinf1	serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080]	10090	586	1
ENSMUST00000000776.9	ENSMUSG00000000759.9	Tubgcp3	tubulin, gamma complex associated protein 3 [Source:MGI Symbol;Acc:MGI:2183752]	10090	860	1
ENSMUST00000000783.7	ENSMUSG00000000766.13	Oprm1	opioid receptor, mu 1 [Source:MGI Symbol;Acc:MGI:97441]	10090	5	0
ENSMUST00000000793.6	ENSMUSG00000000776.7	Polr3d	polymerase (RNA) III (DNA directed) polypeptide D [Source:MGI Symbol;Acc:MGI:1914315]	10090	875	1
ENSMUST00000000804.6	ENSMUSG00000000787.7	Ddx3x	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked [Source:MGI Symbol;Acc:MGI:103064]	10090	6252	1
ENSMUST00000000808.7	ENSMUSG00000000791.8	Il12rb1	interleukin 12 receptor, beta 1 [Source:MGI Symbol;Acc:MGI:104579]	10090	34	1
ENSMUST00000000809.2	ENSMUSG00000000792.2	Slc5a5	solute carrier family 5 (sodium iodide symporter), member 5 [Source:MGI Symbol;Acc:MGI:2149330]	10090	45	1
ENSMUST00000000811.7	ENSMUSG00000000794.8	Kcnn3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3 [Source:MGI Symbol;Acc:MGI:2153183]	10090	19	1
ENSMUST00000000828.7	ENSMUSG00000000811.8	Txnrd3	thioredoxin reductase 3 [Source:MGI Symbol;Acc:MGI:2386711]	10090	47	1
ENSMUST00000000834.2	ENSMUSG00000000817.9	Fasl	Fas ligand (TNF superfamily, member 6) [Source:MGI Symbol;Acc:MGI:99255]	10090	11	1
ENSMUST00000000881.7	ENSMUSG00000000861.10	Bcl11a	B cell CLL/lymphoma 11A (zinc finger protein) [Source:MGI Symbol;Acc:MGI:106190]	10090	111	0
ENSMUST00000000896.5	ENSMUSG00000000876.6	Pxmp4	peroxisomal membrane protein 4 [Source:MGI Symbol;Acc:MGI:1891701]	10090	1101	1
ENSMUST00000000910.6	ENSMUSG00000000889.8	Dbh	dopamine beta hydroxylase [Source:MGI Symbol;Acc:MGI:94864]	10090	73	1
ENSMUST00000000924.7	ENSMUSG00000000901.10	Mmp11	matrix metallopeptidase 11 [Source:MGI Symbol;Acc:MGI:97008]	10090	64	1
ENSMUST00000000925.4	ENSMUSG00000000902.8	Smarcb1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 [Source:MGI Symbol;Acc:MGI:1328366]	10090	233	1
ENSMUST00000000926.2	ENSMUSG00000000903.3	Vpreb3	pre-B lymphocyte gene 3 [Source:MGI Symbol;Acc:MGI:98938]	10090	33	1
ENSMUST00000000939.9	ENSMUSG00000000915.10	Hip1r	huntingtin interacting protein 1 related [Source:MGI Symbol;Acc:MGI:1352504]	10090	823	1
ENSMUST00000000940.9	ENSMUSG00000000916.10	Nsun5	NOL1/NOP2/Sun domain family, member 5 [Source:MGI Symbol;Acc:MGI:2140844]	10090	579	1
ENSMUST00000000958.8	ENSMUSG00000000934.8	Top1mt	DNA topoisomerase 1, mitochondrial [Source:MGI Symbol;Acc:MGI:1920210]	10090	100	1
ENSMUST00000000964.5	ENSMUSG00000029844.9	Hoxa1	homeobox A1 [Source:MGI Symbol;Acc:MGI:96170]	10090	90	0
ENSMUST00000000984.4	ENSMUSG00000000958.5	Slc7a7	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7 [Source:MGI Symbol;Acc:MGI:1337120]	10090	35	1
ENSMUST00000000985.5	ENSMUSG00000000959.5	Oxa1l	oxidase assembly 1-like [Source:MGI Symbol;Acc:MGI:1916339]	10090	1457	1
ENSMUST00000001002.7	ENSMUSG00000000976.8	Heatr6	HEAT repeat containing 6 [Source:MGI Symbol;Acc:MGI:1919790]	10090	366	1
ENSMUST00000001008.5	ENSMUSG00000000982.5	Ccl3	chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]	10090	11	1
ENSMUST00000001009.8	ENSMUSG00000000983.8	Wfdc18	WAP four-disulfide core domain 18 [Source:MGI Symbol;Acc:MGI:107506]	10090	7	1
ENSMUST00000001027.6	ENSMUSG00000063558.4	Aox1	aldehyde oxidase 1 [Source:MGI Symbol;Acc:MGI:88035]	10090	35	1
ENSMUST00000001036.10	ENSMUSG00000032175.10	Tyk2	tyrosine kinase 2 [Source:MGI Symbol;Acc:MGI:1929470]	10090	88	1
ENSMUST00000001040.5	ENSMUSG00000001014.5	Icam4	intercellular adhesion molecule 4, Landsteiner-Wiener blood group [Source:MGI Symbol;Acc:MGI:1925619]	10090	80	1
ENSMUST00000001042.8	ENSMUSG00000001016.8	Ilf2	interleukin enhancer binding factor 2 [Source:MGI Symbol;Acc:MGI:1915031]	10090	524	1
ENSMUST00000001047.7	ENSMUSG00000001021.8	S100a3	S100 calcium binding protein A3 [Source:MGI Symbol;Acc:MGI:1338849]	10090	9	1
ENSMUST00000001051.4	ENSMUSG00000001025.4	S100a6	S100 calcium binding protein A6 (calcyclin) [Source:MGI Symbol;Acc:MGI:1339467]	10090	40267	1
ENSMUST00000001055.9	ENSMUSG00000001029.10	Icam2	intercellular adhesion molecule 2 [Source:MGI Symbol;Acc:MGI:96394]	10090	76	1
ENSMUST00000001059.3	ENSMUSG00000020715.4	Ern1	endoplasmic reticulum (ER) to nucleus signalling 1 [Source:MGI Symbol;Acc:MGI:1930134]	10090	832	1
ENSMUST00000001079.9	ENSMUSG00000001052.10	Sec24b	Sec24 related gene family, member B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2139764]	10090	379	1
ENSMUST00000001080.10	ENSMUSG00000001053.10	N4bp3	NEDD4 binding protein 3 [Source:MGI Symbol;Acc:MGI:2442218]	10090	162	1
ENSMUST00000001081.4	ENSMUSG00000001054.4	Rmnd5b	required for meiotic nuclear division 5 homolog B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913339]	10090	197	1
ENSMUST00000001092.9	ENSMUSG00000001065.9	Zfp276	zinc finger protein (C2H2 type) 276 [Source:MGI Symbol;Acc:MGI:1888495]	10090	297	1
ENSMUST00000001109.5	ENSMUSG00000001082.7	Mfsd10	major facilitator superfamily domain containing 10 [Source:MGI Symbol;Acc:MGI:1915544]	10090	220	1
ENSMUST00000001112.8	ENSMUSG00000052783.11	Grk4	G protein-coupled receptor kinase 4 [Source:MGI Symbol;Acc:MGI:95801]	10090	18	1
ENSMUST00000001115.9	ENSMUSG00000074886.5	Grk6	G protein-coupled receptor kinase 6 [Source:MGI Symbol;Acc:MGI:1347078]	10090	8007	1
ENSMUST00000001122.5	ENSMUSG00000001095.5	Slc13a2	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:MGI Symbol;Acc:MGI:1276558]	10090	60	1
ENSMUST00000001126.3	ENSMUSG00000020829.9	Slc46a1	solute carrier family 46, member 1 [Source:MGI Symbol;Acc:MGI:1098733]	10090	616	1
ENSMUST00000001127.5	ENSMUSG00000001100.5	Poldip2	polymerase (DNA-directed), delta interacting protein 2 [Source:MGI Symbol;Acc:MGI:1915061]	10090	6247	1
ENSMUST00000001130.7	ENSMUSG00000001103.7	Sebox	SEBOX homeobox [Source:MGI Symbol;Acc:MGI:108012]	10090	7	0
ENSMUST00000001147.4	ENSMUSG00000001119.7	Col6a1	collagen, type VI, alpha 1 [Source:MGI Symbol;Acc:MGI:88459]	10090	285	1
ENSMUST00000001148.5	ENSMUSG00000001120.10	Pcbp3	poly(rC) binding protein 3 [Source:MGI Symbol;Acc:MGI:1890470]	10090	448	1
ENSMUST00000001155.5	ENSMUSG00000001127.7	Araf	v-raf murine sarcoma 3611 viral oncogene homolog [Source:MGI Symbol;Acc:MGI:88065]	10090	1060	1
ENSMUST00000001156.7	ENSMUSG00000001128.7	Cfp	complement factor properdin [Source:MGI Symbol;Acc:MGI:97545]	10090	458	1
ENSMUST00000001166.8	ENSMUSG00000001138.8	Cnnm3	cyclin M3 [Source:MGI Symbol;Acc:MGI:2151055]	10090	378	0
ENSMUST00000001172.5	ENSMUSG00000079610.3	Ankrd39	ankyrin repeat domain 39 [Source:MGI Symbol;Acc:MGI:1914816]	10090	142	1
ENSMUST00000001179.5	ENSMUSG00000001151.9	Pcnt	pericentrin (kendrin) [Source:MGI Symbol;Acc:MGI:102722]	10090	1173	1
ENSMUST00000001181.7	ENSMUSG00000020241.8	Col6a2	collagen, type VI, alpha 2 [Source:MGI Symbol;Acc:MGI:88460]	10090	2004	1
ENSMUST00000001183.7	ENSMUSG00000001155.8	Ftcd	formiminotransferase cyclodeaminase [Source:MGI Symbol;Acc:MGI:1339962]	10090	6204	1
ENSMUST00000001184.7	ENSMUSG00000001156.7	Mxd1	MAX dimerization protein 1 [Source:MGI Symbol;Acc:MGI:96908]	10090	98	1
ENSMUST00000001185.8	ENSMUSG00000001157.8	Gmcl1	germ cell-less homolog 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:1345156]	10090	214	1
ENSMUST00000001186.5	ENSMUSG00000001158.8	Snrnp27	small nuclear ribonucleoprotein 27 (U4/U6.U5) [Source:MGI Symbol;Acc:MGI:1913868]	10090	1384	1
ENSMUST00000001202.9	ENSMUSG00000001173.10	Ocrl	oculocerebrorenal syndrome of Lowe [Source:MGI Symbol;Acc:MGI:109589]	10090	388	1
ENSMUST00000001226.4	ENSMUSG00000022436.10	Sh3bp1	SH3-domain binding protein 1 [Source:MGI Symbol;Acc:MGI:104603]	10090	256	1
ENSMUST00000001240.6	ENSMUSG00000001211.9	Agpat3	1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:MGI Symbol;Acc:MGI:1336186]	10090	2432	1
ENSMUST00000001242.7	ENSMUSG00000053329.6	D10Jhu81e	DNA segment, Chr 10, Johns Hopkins University 81 expressed [Source:MGI Symbol;Acc:MGI:1351861]	10090	10647	1
ENSMUST00000001253.7	ENSMUSG00000020651.7	Slc26a4	solute carrier family 26, member 4 [Source:MGI Symbol;Acc:MGI:1346029]	10090	57	1
ENSMUST00000001254.5	ENSMUSG00000001225.7	Slc26a3	solute carrier family 26, member 3 [Source:MGI Symbol;Acc:MGI:107181]	10090	19	1
ENSMUST00000001256.5	ENSMUSG00000001227.6	Sema6b	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B [Source:MGI Symbol;Acc:MGI:1202889]	10090	26	1
ENSMUST00000001258.9	ENSMUSG00000001228.9	Uhrf1	ubiquitin-like, containing PHD and RING finger domains, 1 [Source:MGI Symbol;Acc:MGI:1338889]	10090	143	1
ENSMUST00000001279.9	ENSMUSG00000001247.11	Lsr	lipolysis stimulated lipoprotein receptor [Source:MGI Symbol;Acc:MGI:1927471]	10090	1781	1
ENSMUST00000001280.8	ENSMUSG00000001248.9	Gramd1a	GRAM domain containing 1A [Source:MGI Symbol;Acc:MGI:105490]	10090	22	1
ENSMUST00000001304.7	ENSMUSG00000001270.8	Ckb	creatine kinase, brain [Source:MGI Symbol;Acc:MGI:88407]	10090	13	1
ENSMUST00000001319.8	ENSMUSG00000001300.10	Efnb2	ephrin B2 [Source:MGI Symbol;Acc:MGI:105097]	10090	86	1
ENSMUST00000001326.6	ENSMUSG00000001280.7	Sp1	trans-acting transcription factor 1 [Source:MGI Symbol;Acc:MGI:98372]	10090	1975	1
ENSMUST00000001327.4	ENSMUSG00000001281.4	Itgb7	integrin beta 7 [Source:MGI Symbol;Acc:MGI:96616]	10090	23	1
ENSMUST00000001339.5	ENSMUSG00000001305.5	Rrp15	ribosomal RNA processing 15 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914473]	10090	782	1
ENSMUST00000001347.6	ENSMUSG00000001313.7	Rnd2	Rho family GTPase 2 [Source:MGI Symbol;Acc:MGI:1338755]	10090	102	1
ENSMUST00000001384.4	ENSMUSG00000001349.4	Cnn1	calponin 1 [Source:MGI Symbol;Acc:MGI:104979]	10090	981	1
ENSMUST00000001412.11	ENSMUSG00000001376.12	Ccdc132	coiled-coil domain containing 132 [Source:MGI Symbol;Acc:MGI:1920538]	10090	513	0
ENSMUST00000001415.7	ENSMUSG00000006050.6	Sra1	steroid receptor RNA activator 1 [Source:MGI Symbol;Acc:MGI:1344414]	10090	149	0
ENSMUST00000001416.6	ENSMUSG00000001380.6	Hars	histidyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:108087]	10090	51	1
ENSMUST00000001419.8	ENSMUSG00000001383.8	Zmat2	zinc finger, matrin type 2 [Source:MGI Symbol;Acc:MGI:1913742]	10090	4295	1
ENSMUST00000001439.6	ENSMUSG00000001403.8	Ube2c	ubiquitin-conjugating enzyme E2C [Source:MGI Symbol;Acc:MGI:1915862]	10090	7	0
ENSMUST00000001451.5	ENSMUSG00000001415.5	Smg5	Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans) [Source:MGI Symbol;Acc:MGI:2447364]	10090	4054	1
ENSMUST00000001452.8	ENSMUSG00000001416.8	Cct3	chaperonin containing Tcp1, subunit 3 (gamma) [Source:MGI Symbol;Acc:MGI:104708]	10090	17609	1
ENSMUST00000001455.7	ENSMUSG00000001419.12	Mef2d	myocyte enhancer factor 2D [Source:MGI Symbol;Acc:MGI:99533]	10090	1438	0
ENSMUST00000001456.5	ENSMUSG00000001420.8	Tmem79	transmembrane protein 79 [Source:MGI Symbol;Acc:MGI:1919163]	10090	338	1
ENSMUST00000001460.8	ENSMUSG00000001424.9	Snd1	staphylococcal nuclease and tudor domain containing 1 [Source:MGI Symbol;Acc:MGI:1929266]	10090	5360	1
ENSMUST00000001479.4	ENSMUSG00000001440.5	Kpnb1	karyopherin (importin) beta 1 [Source:MGI Symbol;Acc:MGI:107532]	10090	5727	1
